requirement_id,priority,domain,requirement,acceptance,docx_phase
FR-TX-009,P0,过程基线,周期、重量、流道重量、机台吨位/类型等进入有版本的Process Baseline，不写死在Tooling主数据。,每次试模可比较计划、实际和批准基线。,5/6
FR-TX-010,P0,产能,产能必须为情景化计算，参数包括可用小时、工作日、OEE、良率、节拍、穴数、用量和有效套数。,公式不含隐藏22小时/26天常数；输入与结果均有版本。,4
FR-TX-011,P0,产能,产能结果同时输出零件日/月产量、可装配整机数、瓶颈和缺口。,改变套数/节拍/OEE后结果即时重算并保存情景。,4
FR-TX-012,P0,Tooling导入,提供Tooling List导入向导：上传、预览、列映射、类型转换、校验、重复检测、分批导入和回滚。,错误按行/字段展示；部分成功需明确并可重试。,4
FR-TX-013,P0,Tooling导入,导入器识别标题行、分段行、共用Tooling区和汇总区，不依赖固定Excel行号。,客户表增加/删除前置行后仍可通过映射完成导入。,4
FR-TX-014,P0,Tooling导入,导入保留原文件、批次、原始行、原始值和转换日志。,任一对象可反查来源文件和行号。,4
FR-TX-015,P0,Tooling导入,发现#REF!、非法类型、空必填、单位混用、状态塞编号、未定义A/B/C时阻断或警告。,样例表中的#REF!被识别且不进入正式产能结果。,4
FR-TX-016,P1,Tooling导入,支持从浮动图片提取并关联到零件；无法可靠匹配时进入人工确认队列。,图片不会因自动猜测绑定到错误零件。,4
FR-TX-017,P0,风险分类,将历史A/B/C保留为Legacy Grade，同时新增模具制造难度、成型难度、外观风险和综合风险。,在业务确认A/B/C含义前不得自动解释其语义。,4
FR-TX-018,P0,状态,“New Tooling”等状态不得写入Tooling No.；编号与状态分字段管理并支持原始文本保留。,导入后可按状态筛选，编号无括号状态文本。,4
COD-001,P0,Codex治理,Phase 0只能调查、提问和编写计划，不得修改生产代码、数据库或部署配置。,首阶段只产生批准清单中的文档；Git diff无业务实现代码。,0
COD-002,P0,Codex治理,任何无法从需求、现有代码或样例数据确定的业务规则，必须创建Decision Request并停止相关实现。,无“合理猜测后直接实现”的提交。,0-9
COD-003,P0,Codex治理,新增功能必须引用需求ID；需求矩阵中不存在的功能不得自行增加。,PR描述包含需求ID，自动检查无孤儿功能。,1-9
COD-004,P0,Codex治理,不得修改ERPNext Core；所有扩展通过自有App、API或配置完成。,升级差异检查无Core patch。,1-9
COD-005,P0,Codex治理,不得直接写ERPNext数据库，不得绕过ERP业务校验。,集成测试只通过批准API/服务账户执行。,7
COD-006,P0,Codex治理,不得创建双主数据或未定义主责的双向字段同步。,每个接口字段都能追踪到Ownership Matrix。,7
COD-007,P0,Codex治理,不得执行不可逆删除、重置、覆盖或生产迁移；必须先备份、预演、确认和提供回滚。,破坏性命令默认被AGENTS规则阻止。,1-9
COD-008,P0,Codex治理,不得将密钥、客户数据或生产凭证提交到仓库、日志、截图或前端。,secret扫描通过；样例数据脱敏。,1-9
COD-009,P0,Codex治理,不得引入未批准依赖、闭源企业组件或许可证不兼容包。,新增依赖在PR中说明用途、许可证和替代方案。,1-9
COD-010,P0,Codex治理,不得硬编码产能22小时/26天、状态、客户名称、机型或字段映射。,所有业务常数来自配置/模板并有测试。,4
COD-011,P0,Codex治理,每个阶段遵循计划→实现→测试→自审→文档→演示→批准流程。,未通过Done Definition不得进入下一阶段。,1-9
COD-012,P0,Codex治理,每个用户故事必须实现加载、空态、错误、无权限、冲突和成功反馈。,组件/E2E测试覆盖关键状态。,1-9
COD-013,P0,Codex治理,后端单元/API契约、前端组件、Playwright E2E和集成幂等/重试测试为最低测试组合。,CI全绿并保存测试报告。,1-9
COD-014,P0,Codex治理,未完成模块必须置于Feature Flag后，不允许以假数据冒充完成。,生产默认关闭未验收功能。,1-9
COD-015,P0,Codex治理,代码标识、API字段、数据库字段和所有UI源字符串使用英文；中文仅存在于Frappe兼容翻译目录、测试期望和批准的本地化内容。,静态检查无硬编码中文UI字符串；所有可见英文源字符串通过翻译函数。,1-9
COD-016,P0,Codex治理,大改动前先给出受影响文件、数据迁移、接口兼容、测试和回滚计划。,批准前不执行大范围重构。,1-9
COD-017,P0,Codex治理,每次提交保持小范围、可审查、可回滚；一个线程/任务只处理一个明确目标。,PR规模和变更说明可理解，避免混合无关重构。,1-9
COD-018,P0,Codex治理,完成实现后必须运行/review或等价第二遍自审，重点检查安全、边界、错误处理和遗漏需求。,审查发现项有处理记录。,1-9
COD-019,P0,Codex治理,Codex必须维护PLANS.md、ADR、OpenAPI、数据字典和需求追踪，不允许文档与代码长期漂移。,CI或评审检查关键文档随行为变更更新。,0-9
COD-020,P0,Codex治理,当测试、迁移、导入或接口结果与预期不一致时停止，不得通过删除断言或放宽校验掩盖问题。,失败原因被定位并有修复或Decision Request。,1-9
UX-031,P0,颜色体系,全局只设一个品牌主色；普通业务界面以中性色为主，状态色仅用于错误、警告、成功、信息和中性状态。,业务页无模块彩虹配色、装饰性状态色或任意HEX；设计令牌和视觉审计通过。,1-9
UX-032,P0,形状与层级,面板/表格/工具栏圆角为0px，输入/按钮2px，弹窗最大4px；胶囊形仅限状态、筛选令牌和批准标签。,样式扫描无未批准大圆角、圆角卡片墙、胶囊主按钮或强阴影。,1-9
UX-033,P0,工程工作台布局,桌面页采用全局栏、左侧导航/对象树、对象上下文头、固定工具栏、中央工作区、右侧属性面板及可选底部消息区。,项目和Tooling核心页支持主从/分栏/可调整面板，用户无需在多张独立表单间跳转。,1-6
UX-034,P0,禁止装饰模式,禁止渐变、玻璃效果、强阴影、多彩卡片墙、巨型Hero、过量留白和弹跳动画；动效仅表达状态变化。,Storybook、CSS扫描和视觉评审均无禁止模式。,1-9
UX-035,P0,工程信息密度,优先使用树表、高密度Grid、固定列、分组、属性面板、快捷键和上下文菜单，保持经典工程软件的信息密度。,1440×900下核心工作页无需滚动即可看到对象上下文、主要动作、工作列表和属性。,1-6
UX-036,P0,视觉回归,所有P0页面在1440×900和1920×1080建立英文、简体中文和繁体中文视觉回归基线。,CI保存三语言差异图；未经批准的布局、颜色、圆角和语言变化阻断合并。,1-9
I18N-001,P0,源语言,所有UI、状态、错误、通知、邮件和打印模板以完整英文字符串为源文案。,源代码和元数据中不存在中文UI源文案；英文字符串均经过翻译函数。,1-9
I18N-002,P0,Frappe翻译,后端使用frappe._()；React通过npi-i18n适配器读取同一Frappe兼容source_string/translated_string/context目录，并支持简体中文与繁体中文独立目录。,前后端同一英文源字符串在相同语言和上下文下得到一致翻译；实际language code由M0基于安装版本确认。,1
I18N-003,P0,禁止语言混用,任一渲染页面只使用当前语言；除批准术语/缩写、产品名、编号和用户/客户数据外，禁止英文、简体中文和繁体中文之间的界面混排。,简体/繁体中文页无未批准英文系统文案；英文页无中文系统文案；混排DOM扫描通过。,1-9
I18N-004,P0,术语表,维护approved_terms.csv，规定可保留术语/缩写、中文显示和上下文；新增例外需产品负责人批准。,中文界面残留英文均能追踪到已批准术语记录。,0-9
I18N-005,P0,稳定业务键,枚举、状态、工作流、权限、接口和数据库使用稳定英文代码，展示标签按语言翻译。,语言切换不改变状态机、查询、权限或接口载荷。,1-9
I18N-006,P0,完整消息翻译,错误、校验、活动、通知、异步任务、邮件和打印模板均进入统一翻译链；禁止拼接翻译片段。,英文、简体中文和繁体中文E2E覆盖成功、错误、权限、冲突、部分成功和异步结果。,1-9
I18N-007,P0,翻译发布门,P0页面英文、简体中文和繁体中文翻译完整率必须分别达到100%；开发期英文回退或简繁自动转换不能掩盖发布缺失。,三语言覆盖报告无缺失，缺失、多余源字符串或未经审核的简繁转换阻断发布。,1-9
COD-021,P0,Codex治理,Codex不得偏离Siemens工业视觉约束，不得生成消费级卡片墙、过量圆角、多彩主题或任意CSS视觉值。,每个UI任务报告设计令牌、视觉审计和批准例外；stylelint通过。,1-9
COD-022,P0,Codex治理,Codex不得硬编码简体或繁体中文UI文案，也不得生成语言混排；所有文案变更必须同步英文源字符串、两种中文翻译、术语表和三语言测试。,语言扫描、三语言翻译完整率和三语言E2E通过。,1-9
